CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 21:00,5.7,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 22:00,4,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 23:00,5.7,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 00:00,2.4,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 01:00,2.1,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 02:00,1.8,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 03:00,1.8,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 04:00,1.7,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 05:00,2.2,50,,900
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],10.447250,-75.51602778,2,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 02 - Atlántico-Bolivar-Sucre,Bolivar,Cartagena De Indias,06/05/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 06:00,1.9,50,,900
